# Timesteps, List of cluster sizes
1525000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 8, 12]
1530000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 8, 12]
1535000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 8, 12]
1540000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 8, 12]
1545000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 8, 12]
1550000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 8, 12]
1555000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 8, 12]
1560000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 8, 12]
1565000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 8, 12]
1570000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 8, 12]
1575000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 8, 12]
1580000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 11, 13, 26, 8, 12]
1585000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 11, 13, 26, 8, 12]
1590000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 11, 13, 26, 8, 12]
1595000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 11, 13, 26, 8, 12]
1600000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1605000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1610000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1615000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1620000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1625000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1630000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1635000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1640000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1645000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1650000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1655000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1660000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1665000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1670000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1675000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1680000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1685000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1690000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1695000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1700000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1705000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1710000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1715000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1720000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1725000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1730000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1735000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1740000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1745000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1750000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1755000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1760000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1765000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1770000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1775000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1780000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1785000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1790000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1795000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1800000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1805000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1810000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1815000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1820000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1825000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1830000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1835000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1840000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1845000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
1850000: [11, 41, 16, 18, 77, 17, 20, 30, 11, 13, 26, 8, 12]
