# Timesteps, List of cluster sizes
1810000: [21, 43, 49, 36, 62, 16, 29, 16, 11, 16]
1815000: [21, 43, 49, 36, 62, 16, 29, 16, 11, 16]
1820000: [21, 43, 49, 36, 62, 16, 29, 16, 11, 16]
1825000: [21, 43, 49, 36, 62, 16, 29, 16, 11, 16]
1830000: [21, 43, 49, 36, 62, 17, 29, 16, 11, 16]
1835000: [21, 43, 49, 36, 62, 17, 29, 16, 11, 16]
1840000: [21, 43, 49, 36, 62, 17, 29, 16, 11, 16]
1845000: [21, 43, 49, 36, 62, 16, 29, 16, 11, 16]
1850000: [21, 43, 49, 36, 62, 16, 29, 16, 11, 16]
1855000: [21, 43, 49, 36, 62, 16, 29, 16, 11, 16]
1860000: [21, 43, 49, 36, 62, 16, 29, 16, 11, 16]
1865000: [21, 43, 48, 36, 62, 16, 29, 16, 11, 16]
1870000: [21, 43, 48, 36, 62, 16, 29, 16, 11, 16]
1875000: [21, 43, 48, 36, 63, 16, 29, 16, 11, 16]
1880000: [21, 43, 48, 36, 63, 16, 29, 16, 11, 16]
1885000: [21, 43, 48, 36, 63, 16, 29, 16, 11, 16]
1890000: [21, 43, 48, 36, 63, 16, 29, 16, 11, 16]
1895000: [21, 43, 48, 36, 63, 16, 29, 16, 11, 16]
1900000: [21, 43, 48, 36, 63, 16, 29, 16, 11, 16]
1905000: [21, 43, 48, 36, 63, 16, 29, 16, 11, 16]
1910000: [21, 43, 48, 36, 63, 16, 29, 16, 11, 16]
1915000: [21, 43, 48, 36, 63, 16, 29, 16, 11, 16]
1920000: [21, 43, 48, 36, 63, 16, 29, 16, 11, 16]
